COMM,RESP,PROB,GROW,STRE,ADAP,label
2.815823050070769,2.5945867794842123,5.0,5.0,2.9434577039166485,2.400638614986532,연구원(R&D)
2.8925859687731097,2.3747023065267907,4.773023830229837,4.513422861878621,2.8184000324805565,3.040926750572124,연구원(R&D)
1.8586653408292504,2.502192580105854,4.936943660976639,5.0,2.9484373079480704,2.7504370993767377,연구원(R&D)
1.800259942162921,3.1867362439596,4.557954329733778,3.7454770478356276,3.4303928307491556,3.6231857091176836,연구원(R&D)
2.920217306932426,3.920308767443035,4.213927752840204,5.0,2.8189609621001264,4.475516897177877,연구원(R&D)
5.0,3.5712115711452395,4.061533142395141,5.0,3.846357112936529,2.435914487770097,연구원(R&D)
1.3227047047808218,3.2998060149122668,5.0,5.0,2.277670867807026,2.4978525990745566,연구원(R&D)
4.458976281580109,1.9045951176684246,4.5838014428778715,4.369100790354731,2.0882318421192023,3.693194099705795,연구원(R&D)
2.0667017898514,1.9136732143595594,5.0,4.653584904234095,3.8991297892361643,2.5976791664236236,연구원(R&D)
2.162307055627506,3.3147018984391154,4.273884996616197,5.0,3.0055365700433354,2.6771961027440887,연구원(R&D)
3.7268016939967077,4.054423977943284,4.834526513815214,5.0,3.402535150364251,3.5740149413349633,연구원(R&D)
3.550176625171219,2.589679001002174,4.9687904641012715,4.881482408045966,2.7939141593072443,3.4402022245633783,연구원(R&D)
2.841881305369694,4.220582189682576,4.657994288364887,4.9749963451410135,2.4522600470465985,2.591800671079511,연구원(R&D)
2.108420218159009,4.334930481258746,4.572766291782467,4.776136519286389,2.0829924118657335,2.4115212083833972,연구원(R&D)
2.555339185237063,2.8496341976242636,4.528648231381412,5.0,3.22853141836298,2.5579839474244848,연구원(R&D)
3.6991763000066715,2.914044679243583,5.0,4.639790865871895,3.5006045764785263,4.531170796157097,연구원(R&D)
2.88719030542979,4.33503607776042,5.0,4.934968473374125,4.0351526824072215,3.0402576604113656,연구원(R&D)
3.101155633108443,3.5401554636480963,4.466421156570774,4.724728529636478,3.03521993311109,3.908108634134435,연구원(R&D)
3.1801421414779507,2.1973404640563277,5.0,5.0,3.0790551521233276,3.6895637521869022,연구원(R&D)
3.0177561638541506,3.032615958742589,5.0,5.0,2.098726437793062,1.9361021728556334,연구원(R&D)
3.055287119967456,2.565850090527265,4.172451337003789,4.410342326432304,2.334172208063118,2.656165997691949,연구원(R&D)
2.0313837494155194,3.6956090818598564,4.163703647901208,5.0,3.6184450918039492,3.650777486588942,연구원(R&D)
2.6627568280138587,1.9809212834185848,4.533475936386913,5.0,3.7367753942677995,2.3510979439327535,연구원(R&D)
4.299200178767193,2.7788678480840048,3.487418768924787,5.0,2.769472906218009,2.808565595323847,연구원(R&D)
2.3931463999448637,3.0718332319913833,4.744073352036921,4.8649657226072005,2.478829775852338,4.204640267065738,연구원(R&D)
2.066835613937926,2.8664976729483187,5.0,5.0,2.9786889490245088,2.8820536950640925,연구원(R&D)
4.106540366828284,2.141131825080284,3.8948430572574404,4.939151692949272,3.554165326346847,3.041539696188055,연구원(R&D)
3.6075866005235686,3.5062312736668217,3.9178378659568986,3.6483344344122965,2.7144054192812743,3.0536041260919378,연구원(R&D)
2.2545066407492804,2.640349349130384,4.995382463473181,4.992600978509487,2.608397740961947,3.297157272753398,연구원(R&D)
2.9649396458898307,2.293696999497696,5.0,5.0,3.529816096943737,2.4283953502810975,연구원(R&D)
2.017974347081294,3.741269437882236,5.0,3.8000339584103466,2.707997704257469,1.6123547732272772,연구원(R&D)
1.3227841500411945,2.1743026773000875,4.993391151220628,5.0,2.722835071079793,2.5417129504212657,연구원(R&D)
2.113292864864811,4.226478459542004,4.846014822877479,3.945871468979645,4.612264548201097,4.731692727971699,연구원(R&D)
3.683864164741483,3.7209885028061294,4.834289684431482,5.0,3.547170427818628,1.786668146265291,연구원(R&D)
3.738217254863404,3.733618651295495,5.0,3.4462152001933277,1.4789408325473679,3.0196264161491513,연구원(R&D)
4.056573916526226,3.4732086261182693,5.0,5.0,3.133013588990937,2.8894572352968835,연구원(R&D)
3.4901343435882852,3.7658041796374375,5.0,5.0,3.121434327337354,2.5379121382645864,연구원(R&D)
2.349516054263547,4.452737989120432,4.742314760045332,4.9451495886300885,3.4882922502605256,3.0773391063467135,연구원(R&D)
2.767970391872794,2.1195986970053937,4.983589697243307,3.5904894230344224,2.200727763942016,3.2669484701950307,연구원(R&D)
3.183079990555469,2.3169271509322913,4.659716676458614,4.946830426152946,2.19323144008303,3.736676305517888,연구원(R&D)
2.8536526170829384,2.8081038111974945,5.0,5.0,3.0674485496710275,2.063123573496974,연구원(R&D)
2.2258332300702524,3.4125503667298873,3.667785518453873,4.716797897154342,2.768686024838909,3.8316535462284973,연구원(R&D)
1.7767393499569195,3.7427828046620895,4.02536253798733,4.661509518583092,3.7558659584469383,3.086023035659431,연구원(R&D)
2.8406322840210634,2.2841844297944096,4.736065418230804,4.617424271820248,3.719608786919062,4.196460519965485,연구원(R&D)
2.543662172033007,2.621503059589281,4.501065395644444,5.0,4.012295303995173,3.3633073079302833,연구원(R&D)
